| 📌 **სახელწოდება**           | 🎨 **HEX კოდი** | 📚 **გამოყენება**               
| ---------------------------- | --------------- | -----------------------------     
| 🖤 ძირითადი შავი ფონი        | `#000000`       | მთავარი ფონად                  
| 🌑 ღრმა ნაცრისფერი           | `#121212`       | სექციების ფონი                
| 🌌 შუალედური ნაცრისფერი      | `#1A1A1A`       | ბლოკები                       
| 🌚 მცირე ბლოკების ნაცრისფერი | `#2C2C2C`       | მცირე ბლოკები, ღილაკების ფონი 
| 🌑 კუპრის ფერი (Charcoal)    | `#0A0A0A`       | ღრმა დეტალები                 
| 🌑 ფოლადის ნაცრისფერი        | `#222222`       | ბორდერები, ჩარჩოები           
| 🌕 ღია ნაცრისფერი            | `#3A3A3A`       | დეკორატიული ხაზები            
| 🍃 მთავარი მწვანე            | `#00FF00`       | ტექსტი, ძირითადი ფერი         
| 🌿 ღრმა მწვანე               | `#00CC00`       | სათაურები                     
| 🍀 ნათელი მწვანე             | `#66FF66`       | ლინკები, ღილაკები             
| 🌳 ღია მწვანე                | `#B3FFB3`       | ხაზგასმები, აქცენტები         
| 🍈 მწვანე ჩარჩოები           | `#99FF99`       | ჩარჩოები, მეორადი ტექსტი      
| 🍏 უსაფრთხო მწვანე           | `#33FF33`       | ხაზები, აქცენტები             
| 🌲 ღრმა ტყის მწვანე          | `#006400`       | მუქი დეტალები                 
| ⚪ თეთრი                      | `#FFFFFF`       | აუცილებელი ტექსტები           
| 🕶️ მუქი ნაცრისფერი ტექსტი   | `#666666`       | მეორადი ტექსტი                
